asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:21:18,370	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1857
2018-03-12 16:21:18,370	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1857 0.000800
2018-03-12 16:21:18,371	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 41 00 00 A0 00 
2018-03-12 16:21:18,381	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1858
2018-03-12 16:21:18,381	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1858 0.000800
2018-03-12 16:21:18,382	control24d	DEBUG	thread_listener	_receive_handler	584	MP recv: c:1 s:5 d:b0 04 00 24 40
2018-03-12 16:21:18,382	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 42 00 00 A0 00 
2018-03-12 16:21:18,384	control24d	DEBUG	thread_listener	_receive_handler	594	TODESK CMD 11
2018-03-12 16:21:18,384	control24d	DEBUG	thread_listener	_send_packet	610	Sending Packet of 35 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 15 00 00 00 00 00 0B 00 00 00 00 00 00 00 01 B0 04 00 24 40 
2018-03-12 16:21:18,393	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1859
2018-03-12 16:21:18,393	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1859 0.000800
2018-03-12 16:21:18,394	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 43 00 00 A0 00 
2018-03-12 16:21:18,394	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:21:18,404	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1860
2018-03-12 16:21:18,405	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1860 0.000800
2018-03-12 16:21:18,406	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 44 00 00 A0 00 
2018-03-12 16:21:18,456	control24d	DEBUG	thread_pcap_loop	_packet_handler	557	FROMDESK 1861
2018-03-12 16:21:18,456	control24d	DEBUG	thread_pcap_loop	_packet_handler	573	TODESK ACK: 1861 0.000800
2018-03-12 16:21:18,457	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 30 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 00 00 00 07 45 00 00 A0 00 
2018-03-12 16:21:18,458	control24d	WARNING	thread_pcap_loop	_packet_handler	544	Retry packets from desk: 1
