asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:22:08,100	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'addresses': ['/', 'button', '/', 'track', '/', 'Touch', '/', '2'], 'ValueByteMask': 64, 'Value': 1.0, 'address': '/button/track/Touch/2', 'TrackNumber': 1, 'ChildByte': 1, 'TrackByteMask': 31, 'ValueByte': 2, 'CmdClass': 'C24fader', 'ChildByteMatch': 24, 'TrackByte': 2, 'cmdbytes': ['\x90', '\t', 'A', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'lkpbytes': [144, 0, 9]}
2018-03-12 16:22:08,100	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:22:08,111	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b0004f2030b0015021100000000000000000000000000000000000000000
2018-03-12 16:22:08,112	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 2
2018-03-12 16:22:08,112	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 0, 'addresses': ['/', 'track', '/', 'c24fader', '/', '1'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x00', 'O', ' ', '0'], 'address': '/track/c24fader/1', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:08,112	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/1 [0.6201171875]
2018-03-12 16:22:08,112	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'CmdClass': 'C24fader', 'TrackNumber': 1, 'addresses': ['/', 'track', '/', 'c24fader', '/', '2'], 'ChildByteMask': 64, 'TrackByteMask': 31, 'cmdbytes': ['\xb0', '\x01', 'P', '!', '\x10', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'address': '/track/c24fader/2', 'ChildByte': 1, 'lkpbytes': [176, 0], 'TrackByte': 1}
2018-03-12 16:22:08,112	control24osc	DEBUG	thread_c24_client	osc_client_send	1396	OSCClient sending: /track/c24fader/2 [0.6259765625]
2018-03-12 16:22:08,112	control24osc	DEBUG	thread_c24_client	c24_client_send	1413	MP send: b001502110
2018-03-12 16:22:08,112	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
